date,close_usd,low_usd,high_usd,rsi_14_recomputed,close_change_pct,spy_close_change_pct
2026-07-02,196.7899932861328,193.5399932861328,224.00999450683594,48.7,8.3824,1.4922
2026-07-06,194.8000030517578,193.16000366210938,206.99000549316406,48.1,7.2864,2.3779
2026-07-07,185.3800048828125,178.39999389648438,191.0,45.5,2.0984,1.8914
2026-07-08,184.02999877929688,180.5399932861328,188.86000061035156,45.2,1.3548,1.5767
2026-07-09,192.3800048828125,192.14999389648438,204.47999572753906,48.0,5.9536,2.4365
2026-07-10,190.88999938964844,186.39999389648438,192.77000427246094,47.5,5.133,2.8781
2026-07-13,183.11000061035156,178.66000366210938,189.07000732421875,45.0,0.8482,2.0904
2026-07-14,187.63999938964844,186.0500030517578,193.7100067138672,46.8,3.3431,2.4529
2026-07-15,174.41000366210938,167.08999633789062,187.07000732421875,42.5,-3.9434,2.859
2026-07-16,158.38999938964844,154.42999267578125,167.5,38.0,-12.7664,2.3016
2026-07-17,154.61000061035156,146.94000244140625,158.3800048828125,37.0,-14.8483,1.2891
2026-07-20,153.10000610351562,152.58999633789062,160.5399932861328,36.6,-15.6799,1.1256
2026-07-21,162.41000366210938,156.60000610351562,164.5,41.0,-10.5524,1.9691
2026-07-22,154.05999755859375,153.8800048828125,161.4499969482422,38.4,-15.1512,1.8506
2026-07-23,156.05999755859375,152.24000549316406,160.97999572753906,39.4,-14.0497,0.5928
2026-07-24,146.64999389648438,145.92999267578125,157.39999389648438,36.4,-19.2323,0.695
2026-07-27,143.36000061035156,136.30999755859375,148.69000244140625,35.4,-21.0442,0.7168
2026-07-28,126.01000213623047,114.5,126.0999984741211,30.7,-30.5998,0.958
2026-07-29,124.05000305175781,122.62000274658203,130.8699951171875,30.2,-31.6792,-0.5955
2026-07-30,135.22000122070312,130.0,136.08999633789062,36.5,-25.5273,1.0711
2026-07-31,138.25,138.22999572753906,147.0,38.1,-23.8586,1.7988
2026-08-03,146.63999938964844,132.88999938964844,147.94000244140625,42.5,-19.2378,3.2487
2026-08-04,159.88999938964844,150.85000610351562,162.49000549316406,48.7,-11.9403,5.1102
2026-08-05,156.6999969482422,155.85000610351562,162.60000610351562,47.3,-13.6972,4.9003
2026-08-06,157.17999267578125,150.72999572753906,164.33999633789062,47.6,-13.4328,4.7327
2026-08-07,165.67999267578125,161.16000366210938,170.42999267578125,51.6,-8.7515,5.3732
2026-08-10,157.75999450683594,157.67999267578125,167.88999938964844,47.9,-13.1134,5.3418
2026-08-11,159.19000244140625,158.22000122070312,161.7899932861328,48.6,-12.3258,5.0052
2026-08-12,167.44000244140625,164.2100067138672,169.9499969482422,52.7,-7.7821,5.2682
2026-08-13,158.5399932861328,157.91000366210938,168.24000549316406,48.3,-12.6838,6.0028
2026-08-14,165.99000549316406,158.27000427246094,167.69000244140625,51.9,-8.5807,5.7929
2026-08-17,173.2100067138672,166.67999267578125,176.94000244140625,55.2,-4.6043,5.2928
2026-08-18,159.89999389648438,157.89999389648438,168.05999755859375,48.6,-11.9348,4.5814
2026-08-19,152.4600067138672,150.6999969482422,161.16000366210938,45.3,-16.0324,4.8008
2026-08-20,151.4499969482422,149.25,154.05999755859375,44.9,-16.5886,3.9205
2026-08-21,149.83999633789062,148.0500030517578,155.47999572753906,44.1,-17.4754,4.3457
2026-08-24,145.5500030517578,141.6300048828125,146.38999938964844,42.2,-19.8381,4.0391
2026-08-25,147.16000366210938,146.25,150.80999755859375,43.2,-18.9514,4.3716
2026-08-26,152.77999877929688,146.9499969482422,152.92999267578125,46.8,-15.8561,4.3948
2026-08-27,152.8000030517578,149.42999267578125,157.57000732421875,46.8,-15.8451,5.0788
2026-08-28,148.97999572753906,148.05999755859375,152.6699981689453,44.6,-17.949,4.8404
2026-08-31,148.72999572753906,146.72000122070312,149.0399932861328,44.4,-18.0867,4.5269
2026-09-01,145.55999755859375,143.2899932861328,147.08999633789062,42.5,-19.8326,3.8088
2026-09-02,144.1300048828125,142.82000732421875,147.66000366210938,41.6,-20.6201,4.2694
2026-09-03,146.0,139.25,146.3300018310547,43.3,-19.5902,5.3609
2026-09-04,154.3000030517578,147.02000427246094,154.58999633789062,50.0,-15.019,4.9548
