,score,regime,spread_bp,chg13w,net_liq_bn
2026-02-09,55.00000000000001,BAL,-2.0000000000000018,71.22900000000027,5695.83
2026-02-10,50.0,BAL,0.0,71.08799999999974,5695.688999999999
2026-02-11,50.0,BAL,0.0,85.26799999999912,5706.027999999999
2026-02-12,50.0,BAL,0.0,81.34699999999884,5704.231999999999
2026-02-13,47.49999999999994,BAL,1.000000000000023,81.61199999999826,5706.698999999999
2026-02-16,47.49999999999994,BAL,1.000000000000023,83.22499999999764,5706.698999999999
2026-02-17,34.999999999999986,TIGHT,6.000000000000005,80.89399999999841,5706.634999999999
2026-02-18,29.999999999999982,TIGHT,8.000000000000007,87.58400000000074,5699.812000000001
2026-02-19,44.99999999999999,TIGHT,2.0000000000000018,93.19900000000143,5700.036000000001
2026-02-20,47.49999999999994,BAL,1.000000000000023,89.31800000000021,5700.1720000000005
2026-02-23,47.49999999999994,BAL,1.000000000000023,87.51100000000042,5699.791
2026-02-24,44.99999999999999,TIGHT,2.0000000000000018,88.70800000000054,5699.751
2026-02-25,49.99999999999999,BAL,2.0000000000000018,78.21799999999985,5725.026
2026-02-26,49.99999999999999,BAL,2.0000000000000018,75.58099999999922,5722.388999999999
2026-02-27,47.499999999999936,BAL,3.000000000000025,68.40299999999934,5709.866999999999
2026-03-02,39.999999999999986,TIGHT,6.000000000000005,79.77299999999923,5725.557999999999
2026-03-03,42.49999999999993,TIGHT,5.000000000000027,81.57699999999932,5724.981999999999
2026-03-04,55.99999999999999,BAL,2.0000000000000018,199.8640000000005,5795.964
2026-03-05,58.49999999999994,BAL,1.000000000000023,197.66700000000128,5794.048000000001
2026-03-06,61.0,AMPLE,0.0,198.20000000000073,5795.329000000001
2026-03-09,61.0,AMPLE,0.0,199.59800000000087,5796.509
2026-03-10,63.49999999999994,AMPLE,-0.9999999999999787,201.16000000000076,5796.563
2026-03-11,58.49999999999994,BAL,-0.9999999999999787,132.29400000000078,5807.606000000001
2026-03-12,56.0,BAL,0.0,130.53800000000047,5808.021000000001
2026-03-13,56.0,BAL,0.0,128.21200000000044,5807.731000000001
2026-03-16,43.49999999999993,TIGHT,5.000000000000027,129.8199999999997,5807.576
2026-03-17,56.0,BAL,0.0,128.5580000000009,5807.361000000001
2026-03-18,57.49999999999995,BAL,-2.9999999999999805,88.78200000000015,5802.189
2026-03-19,57.49999999999995,BAL,-2.9999999999999805,90.19000000000051,5802.250000000001
2026-03-20,57.49999999999995,BAL,-2.9999999999999805,81.34400000000005,5802.0650000000005
2026-03-23,57.49999999999995,BAL,-2.9999999999999805,79.78500000000076,5802.030000000001
2026-03-24,55.00000000000001,BAL,-2.0000000000000018,83.88900000000103,5801.764000000001
2026-03-25,52.49999999999994,BAL,-0.9999999999999787,42.998999999999796,5782.307
2026-03-26,50.0,BAL,0.0,42.89099999999962,5782.199
2026-03-27,55.00000000000001,BAL,-2.0000000000000018,58.31999999999971,5782.092
2026-03-30,55.00000000000001,BAL,-2.0000000000000018,48.771999999999935,5782.331999999999
2026-03-31,42.499999999999936,TIGHT,3.000000000000025,35.79599999999937,5767.302
2026-04-01,61.0,AMPLE,0.0,128.20000000000073,5825.519
2026-04-02,58.49999999999994,BAL,1.000000000000023,129.98000000000047,5827.299
2026-04-03,52.49999999999994,BAL,1.000000000000023,29.65400000000045,5827.299
2026-04-06,55.0,BAL,0.0,30.572000000000116,5827.399
2026-04-07,62.49999999999995,AMPLE,-2.9999999999999805,11.551000000000386,5812.281
2026-04-08,80.00000000000001,ABUND,-6.000000000000005,172.44600000000082,5945.318
2026-04-09,85.00000000000001,ABUND,-8.000000000000007,170.72199999999975,5945.093
2026-04-10,75.0,AMPLE,-4.0000000000000036,170.8140000000003,5944.988
2026-04-13,70.0,AMPLE,-2.0000000000000018,171.21600000000035,5945.268
2026-04-14,62.49999999999994,AMPLE,1.000000000000023,171.01200000000063,5945.189
